id,timestamp,image_path,predicted_class,predicted_label,confidence,status,missing_items,corrected_class,corrected_label,notes,face_count,training_candidate,exported_for_training,created_at,workplace_id,model_version,device_id,detected_hamer,detected_schaar,detected_sleutel,total_detections,model_type
208,20251222_211459,uploads\inspect_20251222_211459.jpg,2,NOK - Hamer weg,0.9890435934066772,NOK,"[""hamer""]",,,,0,0,0,2025-12-22 20:14:59,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
207,20251222_211257,uploads\inspect_20251222_211257.jpg,4,NOK - Schaar en sleutel weg,0.9844404458999634,NOK,"[""schaar"", ""sleutel""]",,,,0,0,0,2025-12-22 20:12:57,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
206,20251222_211230,uploads\inspect_20251222_211230.jpg,4,NOK - Schaar en sleutel weg,0.9488999843597412,NOK,"[""schaar"", ""sleutel""]",,,,0,0,0,2025-12-22 20:12:30,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
205,20251222_211217,uploads\inspect_20251222_211217.jpg,4,NOK - Schaar en sleutel weg,0.9582875967025757,NOK,"[""schaar"", ""sleutel""]",,,,0,0,0,2025-12-22 20:12:17,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
204,20251222_210936,uploads\inspect_20251222_210936.jpg,4,NOK - Schaar en sleutel weg,0.9758384823799133,NOK,"[""schaar"", ""sleutel""]",,,,0,0,0,2025-12-22 20:09:36,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
203,20251222_210856,uploads\inspect_20251222_210856.jpg,4,NOK - Schaar en sleutel weg,0.9907440543174744,NOK,"[""schaar"", ""sleutel""]",,,,0,0,0,2025-12-22 20:08:56,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
202,20251222_210811,uploads\inspect_20251222_210811.jpg,4,NOK - Schaar en sleutel weg,0.9971766471862793,NOK,"[""schaar"", ""sleutel""]",,,,0,0,0,2025-12-22 20:08:11,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
201,20251222_210739,uploads\inspect_20251222_210739.jpg,4,NOK - Schaar en sleutel weg,0.9930790066719055,NOK,"[""schaar"", ""sleutel""]",,,,0,0,0,2025-12-22 20:07:39,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
200,20251222_205802,uploads\inspect_20251222_205802.jpg,3,NOK - Schaar weg,0.5923619866371155,NOK,"[""schaar""]",,,,0,0,0,2025-12-22 19:58:02,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
199,20251222_205730,uploads\inspect_20251222_205730.jpg,6,NOK - Alleen sleutel,0.750038206577301,NOK,"[""hamer"", ""schaar""]",,,,0,0,0,2025-12-22 19:57:30,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
198,20251222_205712,uploads\inspect_20251222_205712.jpg,6,NOK - Alleen sleutel,0.8168399333953857,NOK,"[""hamer"", ""schaar""]",,,,0,0,0,2025-12-22 19:57:12,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
197,20251222_205657,uploads\inspect_20251222_205657.jpg,6,NOK - Alleen sleutel,0.6901434659957886,NOK,"[""hamer"", ""schaar""]",,,,0,0,0,2025-12-22 19:56:57,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
196,20251222_205633,uploads\inspect_20251222_205633.jpg,6,NOK - Alleen sleutel,0.9998325109481812,NOK,"[""hamer"", ""schaar""]",,,,0,0,0,2025-12-22 19:56:33,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
195,20251222_204828,uploads\inspect_20251222_204828.jpg,4,NOK - Schaar en sleutel weg,0.944531261920929,NOK,"[""schaar"", ""sleutel""]",,,,0,0,0,2025-12-22 19:48:28,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
194,20251222_204747,uploads\inspect_20251222_204747.jpg,4,NOK - Schaar en sleutel weg,0.9557344317436218,NOK,"[""schaar"", ""sleutel""]",,,,0,0,0,2025-12-22 19:47:47,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
193,20251222_204505,uploads\inspect_20251222_204505.jpg,2,NOK - Hamer weg,0.87,NOK,"[""hamer""]",,,,0,0,0,2025-12-22 19:45:05,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
192,20251222_204435,uploads\inspect_20251222_204435.jpg,2,NOK - Hamer weg,0.87,NOK,"[""hamer""]",,,,0,0,0,2025-12-22 19:44:35,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
191,20251222_204402,uploads\inspect_20251222_204402.jpg,2,NOK - Hamer weg,0.87,NOK,"[""hamer""]",,,,0,0,0,2025-12-22 19:44:02,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
190,20251222_204334,uploads\inspect_20251222_204334.jpg,2,NOK - Hamer weg,0.87,NOK,"[""hamer""]",,,,0,0,0,2025-12-22 19:43:34,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
189,20251222_204008,uploads\inspect_20251222_204008.jpg,6,NOK - Alleen sleutel,0.9999791383743286,NOK,"[""hamer"", ""schaar""]",,,,0,0,0,2025-12-22 19:40:08,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
188,20251222_202640,uploads\inspect_20251222_202640.jpg,2,NOK - Hamer weg,0.9065025448799133,NOK,"[""hamer""]",,,,0,0,0,2025-12-22 19:26:40,2,,Linux - Chrome,0,0,0,0,classification
187,20251222_202622,uploads\inspect_20251222_202622.jpg,0,OK,0.740250289440155,OK,[],,,,0,0,0,2025-12-22 19:26:22,2,,Linux - Chrome,0,0,0,0,classification
186,20251222_202600,uploads\inspect_20251222_202600.jpg,2,NOK - Hamer weg,0.5014427900314331,NOK,"[""hamer""]",,,,0,0,0,2025-12-22 19:26:00,2,,Linux - Chrome,0,0,0,0,classification
